game,community_id,Negative,Neutral,Positive,comments,positive_pct,neutral_pct,negative_pct,users,top_terms,top_central_users
BanG Dream,0,14.0,480.0,18.0,512.0,3.52,93.75,2.73,168,"dream, bang, bang dream, anon, just, umiri, ave, girls","@umwatvy, @そとのひと-d2e, @nh4011, @fantasticformula4239, @ささ-r5z"
BanG Dream,1,94.0,163.0,91.0,348.0,26.15,46.84,27.01,161,"play, lol, like, just, vanoray8734, song, notes, im","@4everVampy, @Michirin9801, @ena.inactiveacc9886, @KuroR1zU, @keverites"
BanG Dream,2,64.0,308.0,66.0,438.0,15.07,70.32,14.61,111,"episode, yumemita, like, taki, game, just, anime, new","@andrewfantome4020, @GiantMyGO, @rokiskt, @knexell5894, @masayama5693"
BanG Dream,3,80.0,92.0,55.0,227.0,24.23,40.53,35.24,99,"like, bandori, dub, voice, good, true, sound, it's","@cambrianangel, @Dawgofdawg, @xavier-san4599, @MisonoMika1, @maltodextrins"
BanG Dream,4,63.0,74.0,80.0,217.0,36.87,34.1,29.03,96,"bandori, like, cover, pjsk, love, real, fr, good","@yell0w-man, @__-cm2qo, @justasillyseelie, @みお-b6r, @iamyourmagician"
BanG Dream,5,42.0,109.0,94.0,245.0,38.37,44.49,17.14,95,"bandori, like, cover, pjsk, love, ily, covers, real","@crychic, @cornetgirliee, @majiwarusentosen, @crispychichen, @epitxh"
BanG Dream,6,77.0,79.0,66.0,222.0,29.73,35.59,34.68,93,"bandori, like, pjsk, just, good, lmao, game, song","@Angie-L810, @revenant_birds, @maybeinky, @Autistic_Menace00, @alyssasauc3"
BanG Dream,7,51.0,75.0,21.0,147.0,14.29,51.02,34.69,83,"bandori, better, just, sisters, like, card, theyre, love","@tinyxstyle8809, @agidokiyt2164, @detloid67, @nyanspark, @starrshort6403"
BanG Dream,8,3.0,170.0,10.0,183.0,5.46,92.9,1.64,76,"killkiss, hina, ave, mygo, mugendai, angra, silentlog_user, tgaj9314","@amaguri530, @Arsene-z8p, @hidane2r, @Orange_kawa626, @らっきょ-q5t"
BanG Dream,9,63.0,74.0,21.0,158.0,13.29,46.84,39.87,72,"like, dub, sound, kokoro, just, voice, oh, ded","@GrayWolf5000, @somaidraws2743, @Eric-cx8ih, @thaumazei, @mahiruhanayo"
BanG Dream,10,1.0,230.0,7.0,238.0,2.94,96.64,0.42,66,"mg, ras, ras mg, love, popipa, good, mikumiku692, agw","@Fumi.0710, @まっちゅん-q9s, @BLY4152, @ゼタすわ, @EVOL-bh"
BanG Dream,11,15.0,59.0,45.0,119.0,37.82,49.58,12.61,66,"song, best, roselia, got, like, yes, just, i'm","@KagamiKawaiineD35u, @shayn3, @-.bella.-, @lalao.1691, @ri_ciel1020"
BanG Dream,12,43.0,62.0,42.0,147.0,28.57,42.18,29.25,64,"bandori, like, rockstargorlllll, game, pjsk, love, just, yeah","@bugkasa, @OwlsV, @SleepyZzz956, @fstut33tfnmy, @mfyuq"
BanG Dream,13,14.0,77.0,34.0,125.0,27.2,61.6,11.2,61,"sayo, hina, like, time, cute, kidz4p509, watch, voice","@sphynx3789, @daviddafitt, @idagonchannel5681, @zacharylee6405, @みかづき-u4d"
BanG Dream,14,12.0,37.0,48.0,97.0,49.48,38.14,12.37,61,"like, song, love, roselia, morfonica, play, songs, fast","@luvkamishiro7628, @noriii, @Unknown_Geek, @ririginanon, @kkyoyo_"
BanG Dream,15,9.0,157.0,5.0,171.0,2.92,91.81,5.26,56,"uika, lmao, added, does, scp0305, fake, alien, ave","@tanotano5748, @流離-o3h, @Renderaux4233, @SuperMerlin100, @エボルガツオ"
BanG Dream,16,22.0,43.0,9.0,74.0,12.16,58.11,29.73,54,"rufflerena, just, lol, playing, play, like, hell, that's","@osakashizucc, @DEEZ_N4T, @crystalpuff7583, @uniivxrsyuri7804, @UT4iTE"
BanG Dream,17,18.0,63.0,35.0,116.0,30.17,54.31,15.52,53,"like, game, anime, episode, life, i'm, just, season","@nazunamoe, @theluckygamer10, @barusuuu, @casinopolis, @phiphi2209"
BanG Dream,18,0.0,131.0,6.0,137.0,4.38,95.62,0.0,47,"j1h, neuia, nyauh8059","@Tomato1714, @めそ太郎-g5u, @shiaki4020, @st1838-jw5jm, @おももたん"
BanG Dream,19,20.0,28.0,35.0,83.0,42.17,33.73,24.1,46,"took, my_sweetmelodiii, dream, love, game, pareo, anime, voice","@sad_melli7270, @MJ-kc9ic, @ladynight3790, @nah002, @angeldoodles02"
BanG Dream,20,15.0,30.0,66.0,111.0,59.46,27.03,13.51,43,"congrats, thanks, got, tsugu, cards, card, luck, sayo","@smoothlyaway, @reiyunaako, @uhuhmmumm, @mez1024, @mafumori_"
BanG Dream,21,1.0,101.0,8.0,110.0,7.27,91.82,0.91,43,"mygo, oh, awesome, akane, drummer, she's, akane yonezawa, yonezawa","@matheusps92, @姓名-r9e6l, @love_SR_love, @Groundtouringcar09, @oceriavs"
BanG Dream,22,30.0,49.0,23.0,102.0,22.55,48.04,29.41,39,"slimycrackerhelpmedeargod, song, just, notes, story, speed, bandori, good","@lolumad1656, @spontaneouslycombusted7664, @cole5241, @carliseavigail.l3448, @ligeringspirit1133"
BanG Dream,23,25.0,35.0,3.0,63.0,4.76,55.56,39.68,28,"anon, like, sayo, poor, dub, soyo, british, sounds","@Goku-ji3of, @_dsvt_, @emil-1999, @PhantomThiefXI, @badgerstateelevators6363"
BanG Dream,24,30.0,11.0,5.0,46.0,10.87,23.91,65.22,27,"d4dj, bandori, anime, songs, like, play, removed, think","@Meatdeposity, @ashroomu, @zera-zero, @catgirl-enjoyer, @gumimegpoidresident"
BanG Dream,25,18.0,23.0,8.0,49.0,16.33,46.94,36.73,24,"peak, english, like, lol, better, song, just, ago","@LowtusMob, @shnezzyy, @coffee-oujithe2nd, @TheChaosKrew67, @hypergigantes7959"
BanG Dream,26,17.0,19.0,8.0,44.0,18.18,43.18,38.64,23,"voice, dub, voices, omg, did, game, probably, think","@crystllxe, @comicattt, @rokka9305, @chaseyy987, @pop6039"
BanG Dream,27,0.0,33.0,4.0,37.0,10.81,89.19,0.0,20,"blacklotus_z33, taki","@KM-ef4vj, @やまちゃん-2, @AY-dv8qm, @emu8799, @のすけ-x5p"
BanG Dream,28,7.0,9.0,17.0,33.0,51.52,27.27,21.21,20,"bandori, like, just, long, good, song, vocals, live","@rtmushroom, @spirits9502, @Ruwnw.jp3, @Mahladhan, @goldy496"
BanG Dream,29,10.0,16.0,16.0,42.0,38.1,38.1,23.81,18,"ship, time, views, million, episode, skin, guys, watch","@pardalinumvollmeri, @sayfridge, @SoRa_sakayanagi0312, @simplewombat7442, @diakurosawa5156"
BanG Dream,30,0.0,13.0,1.0,14.0,7.14,92.86,0.0,14,,"@つよぽ-q9e, @かぼす-m3q, @wasabi-mayodayo, @주춤이, @ゲノ-mys"
BanG Dream,31,10.0,4.0,6.0,20.0,30.0,20.0,50.0,13,"thewayofthewott, bandori, yeah, like, roselia, cover, expect, king","@giuse5050, @gglmfao, @raraanangfd, @INTJ791, @RlTCHAN"
BanG Dream,32,7.0,8.0,3.0,18.0,16.67,44.44,38.89,11,"like, song, voice","@lawss7410, @maisierrx, @m.sydneyvern2260, @leslification, @maleman4079"
BanG Dream,33,0.0,11.0,0.0,11.0,0.0,100.0,0.0,9,,"@aoiyugaming9530, @ねこしぼり, @フンバルトヘーデル-q4f, @user-gdhduuuu, @Geneius2509"
BanG Dream,34,0.0,23.0,0.0,23.0,0.0,100.0,0.0,7,,"@mameshiba-san, @チョコチップメロンパン-v7q, @腕部大回転, @Anvica, @wjrekdgl412"
BanG Dream,35,0.0,7.0,3.0,10.0,30.0,70.0,0.0,7,"hagumi, murilofukuda7680, think, pretty","@murilofukuda7680, @fluffykat05, @jacegerard8343, @neqmisism, @amandocas1766"
BanG Dream,36,1.0,8.0,2.0,11.0,18.18,72.73,9.09,7,"girl, game, mid, mid game","@akita178, @trollingnoobs8384, @miketoastpence, @crimsond.6503, @yoimiya5566"
BanG Dream,37,0.0,15.0,0.0,15.0,0.0,100.0,0.0,6,"linknya, ep, ada, link, krasnamerah1926, ngab, fathurrahmanferdyan, ini","@Ghazam05, @arigandhiwikananda9993, @faqihramadhan7103, @neko-el2yl, @fathurrahmanferdyan"
BanG Dream,38,2.0,8.0,2.0,12.0,16.67,66.67,16.67,6,"bandori, beef, card","@mafu_n, @ギャルオ, @Vocaloid_Fanatic, @peachnami, @SebekMyBaby"
BanG Dream,39,0.0,11.0,0.0,11.0,0.0,100.0,0.0,6,,"@ebiebiyadayada, @あざぜる-u4m, @SIU-NONON0ME, @NMALsh13, @Mariruri-fu1yk"
BanG Dream,40,0.0,9.0,2.0,11.0,18.18,81.82,0.0,6,,"@ioioi1466, @owl9410, @mm22-j9tl, @LAD-ug9hm, @此糸はるか"
BanG Dream,41,1.0,6.0,1.0,8.0,12.5,75.0,12.5,6,"bonedoq, funeraletter, watch","@sheepawolf, @Purplehatcat123, @adrianxeport4480, @funeraletter, @bonedoq"
BanG Dream,42,1.0,3.0,2.0,6.0,33.33,50.0,16.67,5,"bandori, kid, bandori better, better","@LauradeLimaLeao, @fairytypecake, @minettemin, @aabluequeen56, @medkit_"
BanG Dream,43,0.0,6.0,0.0,6.0,0.0,100.0,0.0,5,"pitch, songs, keys, original, lower, version, accommodate, covers","@YABE-JesterTakodachi, @SolidIce99, @owari5536, @nikovoss1472, @yawningyawning814"
BanG Dream,44,0.0,7.0,0.0,7.0,0.0,100.0,0.0,5,,"@karakasa0715, @MIDORI_YAMA_44-49TH, @たろう-b4k, @z4kl374, @Pasta_1865"
BanG Dream,45,1.0,5.0,2.0,8.0,25.0,62.5,12.5,5,"like, pjsk, bandori, lot, feeling, love, really, song","@hanayo8177, @MiyuuNandesu, @evilshadowlover117, @jayyyythearsonist, @urlocalanimatorr"
BanG Dream,46,3.0,1.0,1.0,5.0,20.0,20.0,60.0,5,"prsk, sega, song, company, game, license, lost","@bweesryi, @WereGirl215, @PinkAgaricus, @sopheasofea, @dicky5081"
BanG Dream,47,0.0,2.0,3.0,5.0,60.0,40.0,0.0,5,"iconic, roselia, bandori, definitely","@remi9376, @asianalpaca8823, @miracleswinson, @pearlofivris, @Awacadooo"
BanG Dream,48,0.0,8.0,4.0,12.0,33.33,66.67,0.0,5,"polyphia, music, rock","@Holaaparty, @potassiumpermanganate8803, @mkmcl-g8z, @bitfrosteseigeheim5605, @patt-naniman922"
BanG Dream,49,1.0,2.0,3.0,6.0,50.0,33.33,16.67,5,"bandori, like, dramaturgy, just, cover, voice, project, project sekai","@theclifflookssojumpable, @hugoswife, @kirillnezhentsev7700, @mahesakha, @NimKhea"
BanG Dream,50,0.0,13.0,7.0,20.0,35.0,65.0,0.0,5,,"@由月-q7b, @NabilaRizqia-p3f, @Poppin_Party-Hype, @daRksideee, @おおのますみ-r9o"
BanG Dream,51,3.0,5.0,0.0,8.0,0.0,62.5,37.5,5,"incest, double, double mint, mint","@kruzt6426, @diffanzrq710, @mynameidontknow3701, @erisuro2807, @nokkutisu"
BanG Dream,52,0.0,5.0,3.0,8.0,37.5,62.5,0.0,5,"en, crunchyroll, en crunchyroll","@asaka_chan, @alexishope4511, @MefuNaron, @clemntine3871, @aaronvandam3409"
BanG Dream,53,0.0,2.0,4.0,6.0,66.67,33.33,0.0,4,"kxkichi, lipxlip, hhw, stan","@naukmo, @Kxkichi.216_, @HeroNarvar, @bananice777"
BanG Dream,54,0.0,3.0,3.0,6.0,50.0,50.0,0.0,4,"love, good, hunch, just hunch, cover, just, roselia, like","@Akira-ck3dy, @AnthonySNath, @noodleislost, @icyfeather"
BanG Dream,55,4.0,3.0,1.0,8.0,12.5,37.5,50.0,4,"fenomenomeno, bandori, collab, just, chainsaw, chainsaw man, man, ago","@fenomenomeno, @Astra7Light, @deadxRomanticx, @draco4873"
BanG Dream,56,3.0,2.0,1.0,6.0,16.67,33.33,50.0,4,song,"@YuukiSinju, @aya-wr7rj, @ethanliang1836, @riiririlac"
BanG Dream,57,1.0,5.0,0.0,6.0,0.0,83.33,16.67,4,bandori,"@sleepzzyxx, @Roxanne5912, @narufan69, @akikasaluvr1928"
BanG Dream,58,0.0,4.0,0.0,4.0,0.0,100.0,0.0,4,,"@DAMTN-og2kg, @ヘタクソドラマー, @toyokaz4338, @土葬7ちゃい"
BanG Dream,59,2.0,1.0,3.0,6.0,50.0,16.67,33.33,4,"just, like, bandori, song, like bandori","@Andrea-t9w4t, @iich.bin.sway., @antiawarenessawarenessclub, @sparkling-splendor"
BanG Dream,60,1.0,2.0,4.0,7.0,57.14,28.57,14.29,4,"bandori, layer","@Plushymon, @yuelily, @kittiecandy747, @itzu.ki_pompom"
BanG Dream,61,0.0,3.0,2.0,5.0,40.0,60.0,0.0,4,honestly,"@pachipachimari, @brendaasbury3421, @dreamxmints8946, @maianjo4117"
BanG Dream,62,0.0,5.0,2.0,7.0,28.57,71.43,0.0,4,,"@oy7406, @RockyMiyashita, @陸奥圓明流, @gipoiryplay"
BanG Dream,63,0.0,2.0,3.0,5.0,60.0,40.0,0.0,4,roselia,"@mochishoujou, @猗窩座金屋, @123playwright, @Mornyechwaan"
BanG Dream,64,0.0,3.0,4.0,7.0,57.14,42.86,0.0,4,"bandori, si","@LoliWizard, @hero-s7n, @sayssosayss, @YamabiKaze"
BanG Dream,65,0.0,7.0,0.0,7.0,0.0,100.0,0.0,4,,"@snthrsOFFICIAL, @CMP_Sora_Official, @S3kylarr, @KilkaMilka585"
BanG Dream,66,6.0,4.0,4.0,14.0,28.57,28.57,42.86,4,"idol, right, just, band, members, tri4luvz78, voices, group","@yvegi935, @fruitloop2488, @tri4luvz78, @hungerxhunger2548"
BanG Dream,67,1.0,1.0,3.0,5.0,60.0,20.0,20.0,4,,"@Ihatemylife67296, @mythicalskeleton1546, @IroiRo_owo-_P, @1_AnonFanAndKinnie"
BanG Dream,68,1.0,4.0,1.0,6.0,16.67,66.67,16.67,4,im,"@Kaisha99, @like4cookies, @fearless_say_yes, @Yourbestfriend383"
BanG Dream,69,0.0,6.0,0.0,6.0,0.0,100.0,0.0,4,,"@유청이_Yc, @みかげ-h7u, @0i__xm, @alcEng-556"
BanG Dream,70,2.0,3.0,3.0,8.0,37.5,37.5,25.0,4,"bandori, covers, don, like, like bandori, bandori covers, different, hits","@tcistrash9911, @-Kal_729-, @c0ding_th3_r4in, @That_Lovely_gurl"
BanG Dream,71,2.0,1.0,3.0,6.0,50.0,16.67,33.33,4,"pain, speed","@seaunie, @nobrowrat, @justyouraveragemartian783, @GM.Nobody"
BanG Dream,72,5.0,5.0,2.0,12.0,16.67,41.67,41.67,3,"skyhigh0183, like, pjsk, queen, biased, bandori, did, raaah","@skyhigh0183, @truthlessrecluse, @IlyEna5"
BanG Dream,73,3.0,1.0,1.0,5.0,20.0,20.0,60.0,3,"placeholder, years, songs","@owenlover8081, @alamodefan, @Placeholder-kl2pq"
BanG Dream,74,0.0,7.0,0.0,7.0,0.0,100.0,0.0,3,diandrabagas2333,"@diandrabagas2333, @fuukouzekka, @ghalyyazid1373"
BanG Dream,75,1.0,4.0,0.0,5.0,0.0,80.0,20.0,3,"just, missingnemesis, fever","@seakair., @missingnemesis, @Aria-Shiu"
BanG Dream,76,1.0,2.0,11.0,14.0,78.57,14.29,7.14,3,"views, literally, love, im","@jaejunger, @kopistherevelator5509, @slanceslance7026"
BanG Dream,77,1.0,1.0,1.0,3.0,33.33,33.33,33.33,3,"cover, project","@Lunari-chan12, @pierce6357, @ForksAreBetterThenSpoons"
BanG Dream,78,0.0,5.0,0.0,5.0,0.0,100.0,0.0,3,"anime, game","@XPCrimson, @honor__, @reflector1900"
BanG Dream,79,0.0,4.0,0.0,4.0,0.0,100.0,0.0,3,,"@沙沙-g7e, @香風智乃-x5u, @1kaka165"
BanG Dream,80,3.0,1.0,0.0,4.0,0.0,25.0,75.0,3,"bands, like","@layslaylays, @candyheavenly3, @xyzarare"
BanG Dream,81,1.0,3.0,2.0,6.0,33.33,50.0,16.67,3,"adachivineboom, android","@juliasayuri7075, @vwxtek, @adachivineboom"
BanG Dream,82,0.0,3.0,0.0,3.0,0.0,100.0,0.0,3,,"@okku92, @陸奥-l3h, @ЮрійСухіх-в9с"
BanG Dream,83,0.0,0.0,3.0,3.0,100.0,0.0,0.0,3,"bandori, sekai, loyal, king","@bricali, @selkie2737, @Minato_oshi"
BanG Dream,84,0.0,1.0,3.0,4.0,75.0,25.0,0.0,3,pretty,"@darkshadow_42069, @Sotoyalay704, @NayaFeliz"
BanG Dream,85,0.0,3.0,2.0,5.0,40.0,60.0,0.0,3,"episode, season","@bakingzhab, @agustinbutera8527, @kozukanyala"
BanG Dream,86,1.0,3.0,0.0,4.0,0.0,75.0,25.0,3,,"@vlenmd, @stillsleepingneko, @Kristan1503"
BanG Dream,87,1.0,2.0,0.0,3.0,0.0,66.67,33.33,3,,"@astro7220, @WeiWuxianReal, @rileyitokimjoy0123"
BanG Dream,88,0.0,4.0,0.0,4.0,0.0,100.0,0.0,3,,"@akamatsukaede9806, @CoffeeeeeeeNime, @ena_chanloves"
BanG Dream,89,2.0,3.0,1.0,6.0,16.67,50.0,33.33,3,"covers, love, really, pjsk, va, singers, life, love ran","@fenoken, @nightcord25ji, @CatFan002"
BanG Dream,90,0.0,3.0,1.0,4.0,25.0,75.0,0.0,3,"doing, holy, angle, clip, total","@katlyn6103, @kyoka306, @miktxz"
BanG Dream,91,0.0,3.0,1.0,4.0,25.0,75.0,0.0,3,,"@しんた-g1h, @餃子大臣, @らんねす"
BanG Dream,92,0.0,4.0,0.0,4.0,0.0,100.0,0.0,3,,"@冴木ムラサキ, @晃一-y7q, @抹茶ラテ過激日"
BanG Dream,93,0.0,3.0,0.0,3.0,0.0,100.0,0.0,3,"bang, bang dream, dream, tinistrawbunnie, tinistrawbunnie bang","@rinkokone, @emmaanimations4329, @nanomacaron232"
BanG Dream,94,4.0,1.0,0.0,5.0,0.0,20.0,80.0,3,"moca, voice","@jiwoie, @justelisan1766, @NoOtherNames"
BanG Dream,95,2.0,1.0,0.0,3.0,0.0,33.33,66.67,3,,"@Cactusssutcac, @animmons, @luluthecreator44"
BanG Dream,96,0.0,8.0,0.0,8.0,0.0,100.0,0.0,3,,"@hoir-x3s, @さすぼん-h1x, @我赴くはセイウチの群れ"
BanG Dream,97,1.0,3.0,1.0,5.0,20.0,60.0,20.0,3,yumemita,"@quierodinero1187, @horasenka3327, @el_khyii"
BanG Dream,98,0.0,3.0,1.0,4.0,25.0,75.0,0.0,3,,"@priyadarshini2079, @I_l0v3_Ruikasa12, @hagumydei"
BanG Dream,99,0.0,3.0,0.0,3.0,0.0,100.0,0.0,3,,"@プレント, @奏絶, @グリセリン-b6t"
BanG Dream,100,0.0,4.0,0.0,4.0,0.0,100.0,0.0,3,,"@Jyo_Daaaaaaaaaa, @astralera-t8i, @末田尚仁"
BanG Dream,101,1.0,5.0,2.0,8.0,25.0,62.5,12.5,3,"anon, yukina","@r0000g, @bazlarahima, @XIMIPA6_IlhamMuttaqinSakti_15"
BanG Dream,102,1.0,7.0,0.0,8.0,0.0,87.5,12.5,3,,"@佐藤一郎-v1h, @lovefouru3430, @Eosinophyllis"
BanG Dream,103,0.0,2.0,2.0,4.0,50.0,50.0,0.0,3,,"@ok-lo7ui, @Crystal_digitalstar, @chuutheworldd"
BanG Dream,104,3.0,6.0,13.0,22.0,59.09,27.27,13.64,3,"fc, ayameyuki, ayameyuki ff, ff, did, like, master, combo","@AyameYuki-FF, @wleepo, @craftypixel7992"
BanG Dream,105,1.0,1.0,3.0,5.0,60.0,20.0,20.0,3,million,"@anotherfoxy4250, @NielxHunter, @megami_ix"
BanG Dream,106,0.0,2.0,2.0,4.0,50.0,50.0,0.0,3,"episode, think, just","@MargyAlice, @ChiiPops, @esense9602"
BanG Dream,107,0.0,3.0,1.0,4.0,25.0,75.0,0.0,3,,"@agaed7676, @YTSirBlack, @rosicorzguz2778"
BanG Dream,108,0.0,4.0,0.0,4.0,0.0,100.0,0.0,3,,"@みじんこ-b3z, @もちもち雪兎, @HangyakuN0Debutcho"
BanG Dream,109,0.0,5.0,0.0,5.0,0.0,100.0,0.0,3,,"@寝取られを滅ぼすマスターロゴス, @jychou-y1c1q, @たのシンゴ"
BanG Dream,110,1.0,2.0,0.0,3.0,0.0,66.67,33.33,3,bandori,"@fluffymii599, @Tsubasaswife_, @sraluch777"
