gameLabel,videoTitle,disagreement_type,vader_compound,roberta_confidence,textClean
Project Sekai,Project Sekai Hottest Takes,VADER Positive / RoBERTa Negative,0.998,0.7442005276679993,"Hot Take: Who the hell writes for VBS? Not saying it’s bad, Akito is my favorite character, VBS is my favorite unit. But they seem shallow, bland. Everything is about their careers and passion, and I am tired. We get more of WXS’s characters as a people, even if they are going overseas or whatever. We get to see the idols having personal struggles. But VBS? They had their best moments between a Kashika event and the Gekokujou event. But now that they surpassed Rad Weekend? It would be the perfect opportunity to write about Burnout, or how it’s okay for yours dreams to not make sense anymore, or to take a break, anything. But the “Let’s conquer the world” doesn’t seem…. believable for me. Also hate how they don’t bring their parents on this. Or make the “father figure mentor” a thing. Acknowledge that maybe Akito doesn’t have a proper support on his dream, that’s why he rather resort to Ken or people on the vivid street. Make Kohane have a backstory. Maybe her parents worry too little, that’s why she got along with Taiga. Idk GIVE ME ANYTHING Touya used to be a character that could hold events on his own, now? He basically needs Tsukasa or Akito to function on an event, he supports those characters, he’s funny with them. He doesn’t work “alone” anymore. Make him interesting again! Maybe he wants to have a solo career! Who knows? Not saying that he should leave VBS, but it would be interesting to see him publishing his own songs and still working with VBS, that normal to happen! All that yapping, I just think VBS seems like it’s out of things to do. They achieved their dream, now what? I have a feeling that PJSK it’s running out of things to do. Wouldn’t surprise me if they “ended” those characters stories on the 6th anniversary or something. I just think VBS it’s being “left out” the most by the writers."
Project Sekai,Project Sekai Hottest Takes,VADER Positive / RoBERTa Negative,0.998,0.4747825562953949,"I hope rui5/kasa6 are really really good, because honestly, kasa4/5 and rui4 were really dissapointing. Nene5 was a bit better, but the stories just dont have what the older events had. I still love the games story, but the parts I really love are all over a year old now Im honestly kind of disappointed with the direction they took the story. They started out pretty good, but the newer ones all feel disappointing ESPECIALLY wxs, the disband arc was so gripping, and I loved it, and then after our happy ending, the new arc is basically just fluff... Ive seen so many people who used to play prsk quit/lose interest, I really really love the game, but i want them to do better, it feels like the latest third of prsk was at least 80% fluff I do like mizu5, but i think if they hadnt done it, prsk stories mightve been better as a whole, i dont like angst that characters get over in 10 minutes, I want something more realistic, looming, bittersweet, like wxs disband arc, it was so so good, but then they got way too comfortable, the characters are good in theiry, but the execution has been especially lacking for over a year now"
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Negative,0.9979,0.7070461511611938,"Personally I never really felt attached to any of the characters of L/N. They all feel so bland compared to the other units. Most of the units have smth unique like comedy-WXS or social status’s-Niigo (most of the characters deal with problems based on others) but L/N really only focuses on their friendships and ngl it was kind of hard to get through. I’ve also seen some of the side stories and they all kind of feel repetitive with Shiho only wanting to practice most of the time and there’s not much development compared to the end of the main story. Like Mizuena become closer since the main story and Mafuyu is starting to learn that her mom’s controlling her (and breaking away) but L/N just feels like the same thing over and over again, at least to me. I also feel like a lot of the leaders are also not the greatest choice. Like u said, Tsukasa doesnt rlly feel like he’s the leader most of the time (I haven’t finished the main story tho) and Ichika was really left out in the main story. She really didn’t do much (but I also haven’t watched it in a while so I might be wrong) Smth unrelated: I hate the distribution between L/N and WXS. Ichika is ALWAYS in ALL of the songs. I love her voice but sometimes I’d rather see other characters be in the main lead bc when u see who sings different songs. You really don’t have much of a variety of the characters. Usually it’s Ichika and Shiho (singing at diff pitches which I don’t enjoy) or Ichika and Honami. I don’t think I’ve really heard a Ichika x Saki duo song even tho their the closest out of everyone. And in WXS, EMU. Oh my goodness. U can HARDLY hear anyone else in the main chorus. She has a really loud voice which isn’t my fav so I might be biased but it’s so annoying. Like Tsukasa and Rui have nice voices but I hand ever hear them bc of Emu. I love her dearly but she’s ALWAYS singing so LOUDDDD. And the duo covers for WXS and MMJ r also always the same. Tsukasa X Emu, Rui X Nene, Minori X Haruka, and Airi X Shizuku. Always the same. And it’s worse bc my fav pair is Haruka X Shizuku bc I love their vocals especially in Shoujo Rei but we don’t get much of them in much of their commissioned or event songs (idk I don’t know which songs r which in MMJ) I’d also like to see some An X Akito, I’d feel fresh not having the same old pairs. And for Niigo and WXS having a single character running their Sekai’s, it’s unique to the group but aside from the main stories, u don’t hear much abt it again. Like Mafuyu literally SENT THE GIRLS HOME and after that they don’t speak abt it again or anything. Until recently, there’s been a LOT of Mizuki events especially with the intersecting ones so I’m glad that we’re getting more development on Mafuyu but what abt Kanade? I’m like halfway through the events but the only REAL one I remember is when Mizuki took them for a tour so she could get inspiration. We also haven’t gotten many updates abt her dad. It would also be cool if they would NOT include the virtual singers every now and then. Like I LOVE Charles and villain bc of it. I feel like Niigo has better tuning with the VS’s but L/N is really done dirty. I’d be nice to have a song dedicated to JUST the characters. Sorry if there’s any mistakes it’s like 1 in the morning rn so I’m kinda making this in a rush. Anyway those r my opinions. I also think it’s be cool for a gender end event."
BanG Dream,comparison of Bandori and PJSK cover songs (pt. 2),VADER Positive / RoBERTa Neutral,0.9979,0.5317950248718262,"i might late but 30. VBS (Ran's voice is a bit too rock for me) 31. WxS (Kokoro's voice seems kinda off) 32. Roselia (Ichika's amd Miku's voice doesn't fit well) 33. N25 (i just like N25's calm voice alot) 34. 50/50 (ehh i don't like the song but ok!) 35. Raise A Sullen (N25's calm voice doesn't really fit) 36. WxS (Ran's voice doesn't really fit) 37. WxS (Kokoro's voice is nice but lacks something) 38. 50/50 (both fit very well!) 39. N25 (i just really like calm voices) 40. 50/50 (both are good!) 41. 50/50 (i love both of them... can't pick!) 42. N25 (i like the calm yet loud vibe) 43. VBS (Idk why but the tone of Yukina's voice doesn't match my taste) 44. N25 (i like the calm vibe) 45. L/N (Again,Yukina's tone doesn't match my taste) 46. 50/50 (i like both of the vocals) Results : Pjsk : 10 Bandori : 2 (I'm really sorry bandori players!) Tie : 5 Both of them are good but tbh i like calmer music than rock/band But bandori's instrumentals are sooo good! Pjsk have better vocalists but i gotta say Mashiro and Ran are my favorites! Both games are good nothing worse nor better (i never played bandori...mb gng) I'm a former pjsk player but i never mean to offend the bandori players!"
BanG Dream,BanG Dream! Girls Band Party!☆PICO Episode 24 (with English subtitles),VADER Positive / RoBERTa Neutral,0.9977,0.5814908742904663,"Also in BanG Dream! and Love Live! featuring South Park and the Eurovision Song Contest: Bigger, Longer and Uncut, there will be what's call ""the Eurovision Song Contest Marathon Challenge (Live Performance Version)"", basically think the Endless Setlist from Rock Band, except you play through all the songs of a edition of the Eurovision Song Contest, ordered by country in alphabetical order for the 1956 edition, by the placement of the song from last place to first place for the 1957 to the 1968 edition, the same goes for the 1969 edition, but because of 4 countries having the same amount of points, which leads to a tie (this led to a tie-breaker rule being implmented), the order is like this: United Kingdom fourth-to-last because they already host the contest in 1968, Spain third-to-last because they hosted the contest in 1969, France is second-to-last and Netherlands the last song of the 1969 edition of the Eurovision Song Contest Marathon Challenge because they hosted the contest in 1970, also by the placement of the song from last place to first place for the 1970 to 2003 edition and then by the amounts of points that the songs achieved for both the Semi-Final songs and the Grand Final songs from 2004 onwards. The amount of songs depends on the editions but the editions before the Semi-Final system was implmented always never exceeds 26 songs, after the Semi-Final system is implmented, the number of participating country and, as a result the number of songs has exceeds the number 30 and some editions has exceeds the 40 mark, the edition with the most songs are: 2008 and 2011, both editions has 43 songs, which means, even though those song are 3 minutes in length, it's still a Marathon Level and this also applies to any editions after 2004. But beating it will grant you a big amount of currency, both of which comes from BanG Dream! Girls Band Party and Love Live! School Idol Festival, for every song you get through without draining your hit point bar you get 1 million Gs (the currency from Love Live! School Idol Festival) and 100 thousand Stars (the currency from BanG Dream! Girls Band Party) and the number multiply by two if you get the Full Combo Notes and multiply by four if you get the All Perfect Notes and doing both multiply the number by eight, if, for example: you do the 2008 edition of the Eurovision Song Contest Marathon Challenge you will get 43 millions Gs and 430 thousand Stars, if you Full Combo a certain amount of song, like say 20 out of 43 songs, you will get 83 million Gs and 830 thousand Stars, if you both do a Full Combo Notes and All Perfect Notes, you will get 203 million Gs and 2 milion and 30 thousand Stars, if you Full Combo Notes and All Perfect Notes on all the songs, you will get 344 milions Gs and 3 milions and 440 thousand Stars, also, if you die somewhere, how much Gs and Stars you will get depends on how far you get through, how many of the song you have Full Combo Notes and All Perfect Note. Basically it's as i said the Endless Setlist from Rock Band with the massive reward for doing 50 Laps of the Goliath race in any Forza Horizon fron the 2nd game onwards. And then there's ""the Eurovision Song Contest Marathon Challenge (Studio Version)"" and another one called ""the Eurovision Song Contest Marathon Challenge (Uncut Versrion)"", the former is exactly the same things as the ""(Live Performance Version)"", except it used the Eurovision recording of the song and the latter is essentally the same thing as the ""(Live Performance Version)"", except it use the original recording of the song, which isn't cut, shorten or censored."
Project Sekai,The Wild World of Project Sekai Unpopular Opinions,VADER Positive / RoBERTa Neutral,0.9977,0.5508092045783997,"i often see posts that are like “niigos stories all revolve around mafuyu, and it makes me angry.” first of all, its normal and okay to support your friends when they are struggling, especially with someone like mafuyu who literally has a fake persona that she puts on around others. i feel like the reason some of kanade’s focuses are connected to mafuyu is because mafuyu matters to her and the two found each other at a point in time where both of them were despairing. also, kanade’s character and her “goal” is centered around “making music that can save someone”, so i think it’s okay that her focuses are centered around… making music that can… save mafuyu. it’s not everyone’s goal to be the best person, some people want to support others. kanade is a prime example, as a person who always put others before herself. her “character goal” is to reach a point where her needs and others are more balanced, but she inevitably won’t start putting herself before everyone when that time comes, as she’s always been a person that cares about others. as for the other members, mafuyu becomes a metaphor of change being possible. she started as a person who didn’t have any idea of what she wanted in life, and had thought it would’ve been better to disappear. years later, she’s doing way better mentally, has formed genuine connections with people who want the best for her, has realized that her mother might be more controlling than she thought to the point where she doesn’t want to live in the same household, has talked to her mother about her true feelings, and has confided in some who she didn’t know much about before, her father; a person that since childhood hasn’t been present because of work context, yet still wants the best for her and cares for her. niigo has always been centered around personal goals, the digest anime literally being subtitled “SELF”. i interpret niigo’s symbol being based around “even if you have your own goals, having people that support and care about you to push yourself to new heights is important.” this is particularly demonstrated in the recent mafuyu focus event; “reeling in the lights” (mafu5), where mizuki’s words help mafuyu take the step that is confiding in her father, which inevitably pushes her to want to take that same step in confiding in ena as well (let’s hope mizu5 makes that happen). just because the group is usually helping mafuyu, that doesn’t mean that mafuyu’s improvement and presence isn’t doing the same. anyway, niigo is my favorite group and it saddens me whenever i see people just write them off as “the mafuyu group”. i think they are beautifully written, and i hope you can somewhat see my vision after reading this."
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Neutral,0.9976,0.5689154863357544,"What I like about Leo/need being behind is that none of the characters are naturally gifted or quite as skilled (For example, Kohane is talented and Minori is skilled) in their field. Sure, Shiho is probably the most experienced and the best player, but they are also trying to go pro as a band with no connections and are building up from the ground. Sure, they were in a band together when they were younger, but the only one that had continued practicing all this time was Shiho (that I recall) Emu already is the daughter of the owner of PXL, and already had a stage there. She found people that were already talented and that just focused more on teamwork and personal issues An is the daughter of Ken, and Toya and Akito were already in a group themselves and had been preforming. Kohane was the only one who actually needed to improve, but again, she was already a good singer despite not even trying to build her voice up over the years. The main issue with Kohane in the main story is her stage fright. I haven't read any of the key stories for VBS so I don't know where else their story goes, but nonetheless, they go to live houses, An already has a reputation, etc. More More Jump consists of three formerly famous idols, and Minori, who has been working to become an idol her whole life. Of course they'd gain a following much easier. I don't really need to explain much here. They're already previously successful idols Nightcord has already been established for quite some time when we are introduced to them, so they've already gained quite the following. They're an online group shrouded in mystery, and we're not actually sure how many followers they have, but they're not trying to become a professional band, they're just posting music online, which requires no prior connections. It does help that Kanade is insanely talented and that her father was a musician so she had access to music all her life. She has been composing for years. Leo/need feels like it's more based in reality. It's a group of childhood friends becoming a band. Yes, they preform on stages or at live houses, but they don't have connections in their field like An does, being Ken's daughter. She already has a reputation of her own as well, considering she's been preforming for years. Every group has someone that has been in some sort of spotlight for years EXCEPT Leo/need and I think that's where this issue of their slowness stems from. And although Shiho is related to Shizuku, they're in completely separate fields. There's also the fact that Shiho won't even consider letting them preform live until they get good enough to, so there's a lot of staggering in the plotline for that. They are behind, but it's realistic for them to be Also off topic but am I the only one that thinks An should have been the VBS leader? She's the only person of the main stories to have herself as an opening instead of the literal leader. I thought she was the leader for the longest time"
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Neutral,0.9975,0.6876609921455383,"While I agree that WxS makes theater productions seem unrealistically easy, they actually have mentioned a lot of things you listed if you actually read the event and side stories. It's said that they usually do 2 hours of warm-ups and training before they actually start practice, and in phoenix event they also participated in flexibility, endurance, and strength training etc (forgot the details but they ran like 10km and did 300 squats lol, nene died). For the costume designs, I don't think it's necessary to be mentioned as you can easily read between the lines-- one of Tsukasa's hobbies is costume-making, and Mizuki also made Rui and Nene's initial costumes. WxS also has a whole ass company backing them, so yeah. As for the scripts, I think it also has been mentioned that Tsukasa is mainly the one who writes them, while Rui does the basic choreography, then all four develop it together. Idk about the extras, but they have utilized the virtual singers in their show once (plus Rui could easily just make robots for that), and it's pretty common in theater for a person to play two or more roles. Lighting and sound is definitely Rui's job tho since he's the director (he's been shown taking care of those technical stuff multiple times). But most of all, they're all overachieving workaholic losers who put A LOT of effort into their shows (especially early on, where they had to put like 5 shows a day to gain an audience). Also, I don't think common sense really applies to WxS since they're literally described as a group of eccentrics lol. Emu has always been crazy athletic from the start, Nene's singing has been acknowledged by a world-famous songstress, Rui is a genius director, and Tsukasa is uhh. He tries /affectionately. BUT in a card story he's able to learn an entire dance choreo perfectly in under 5 minutes, and lots of professionals also praised his acting skills, so he's def talented. Furthermore, they're all characters who already have years of theater experience from the get-go; Emu obviously trying to keep Wonder Stage alive, Nene joining a theater group during middle school and being talented enough to get the lead role, Rui doing unauthorized shows everywhere, and Tsukasa making shows for Saki (plus his part-time jobs). Tho I agree with you on the song-writing part since Tsukasa's so far the only one confirmed to be able to play an instrument(?). But I think that's just a game thing and the songs aren't actually canon bc only a few of them sound musical-like anyway LOL (SORRY IF I SOUND AGGRESSIVE BTW i meant this in a lighthearted way but ended up rambling bc im both a theater AND wxs nerd lmao </3)"
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Neutral,0.9973,0.5647192001342773,"I totally understand your point about Shiho, and honestly, I was like that too at first before [somehow] she became my favorite over Saki [who WAS my fav]. I think the biggest issue is the fact that it's a big combination of factors, it was like blind for me because I didn't know a lot about her at first but just settling and understanding her perspective somewhat makes me enjoy her. I acknowledge how Shiho can be perceived as unlikeable because of how she pushes people away and how rude she can be [which I understand people don't like her personality sometimes] and that's a factor you can use to dislike her. But if you ask me, judging her purely off the fact that she wants to go pro and serious about her band is a slight bit unfair. The main thing is that Shiho didn't experience what Saki did, either party can try to understand one other but they never will experience the exact thing. While Saki was in the hospital, Shiho [well not moved on] had a goal, created and had the foundation of an idea of what she wanted to do in life. The friend group fell apart and she can't wait forever for them as unfortunate as that is. When Saki came back, she more so focused on living the life she missed which is totally valid. But expecting your old childhood friend who's got a goal in mind and to spend a good portion of her time with you for something that probably takes her a lot of work is also expected to not work. Shiho is thinking of things Saki is not, and Saki is thinking of things Shiho is not. I don't think one is selfish nor one is childish for choosing one side of a thing or wanting a certain thing. It's just a matter of entertaining both sides views, although Saki's is easier since it's inherently more empathic in nature. EDIT: almost forgot about this point but Of L/N being very stuck on like them being a legit thing and a music group I see it more of a ""what advantages does everyone have to get their goal"" MMJ is the easiest example, yes being Idols are hard but you literally have Minori who trained her childhood wanting this and 3 whole fledged idols who have experience in the industry WxS has Emu which is really big if you think about it, while yes, that's one person and it doesn't make up for everyone else, the fact that they HAVE a stage to perform on in a popular area already boosts their chances enough N-25 is a bit more different due to how online music works, it's a matter of the internet and that makes it complex, but you've seen how easily songs can blow up especially online in a niche community VBS is not exactly too different from L/N if you ask me, while yes, VBS is more successful they both hold their fair amount of failures over their performance events if you ask me, plus Kohane gets professionally ""trained"" [although untraditonally], Toya has a background in music already, and An was raised on Vivid street I don't understand what being in a band means but if you ask me, L/N is more akin and realistic to what professional music groups might have to go through from the scrap"
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Negative,0.9972,0.5542627573013306,"insane shiho take honestly. for someone who loves to claim leo/need have no development, you sure seem to have missed every event where shiho developed as a character. also not to pull the ableist card but i feel like it‘s pretty clearly implied that she’s autistic, at least it reads like that when most of her “rudeness,” just comes from an inability to read social cues. also if you bothered to read, you’d know that shiho’s passion for music and her lifelong dream to make a career out of her talent was undermined and devalued when she found people she wanted to share her passion with. and when she finally did find leo/need who were willing to share her dreams with her, she was obviously worried that they would see her as unfriendly and too attached to her instrument like her last band did. exactly like how saki’s willing to overwork herself and get sick because of her abandonment issues. both of them are paranoid, especially in their earlier stories, because of how scared they are to lose the seemingly perfect conditions that their friendship offers them, because at that point they hadn’t realized their roles in the band and really realized how unconditionally the others would support them. shiho first has this realization that leo/need wouldn’t give up on her in resonating with you, but it’s in don’t lose faith that it’s really shown how much trust she has in them, and how leo/need is an integral part of her dream. because if going pro was all she wanted, she could have easily just taken iori up on her offer. she could have easily just accepted the record deal saku sent her that wanted to devalue saki’s (and ichika’s) compositions. she could have easily just let her friends remain at a lower level than her so she could be noticed individually, like she has so many times before. but that’s not what she wants. she loves leo/need, she wants to uplift them, to share her lifelong dream with them. she has the utmost faith in them. also it’s no wonder ever leo/need member is below her musically and that she’s the only one doing as well (as you said) as the other characters in the game. honami dropped her instrument in middle school, ichika is just now learning how to sing, and even though saki’s played the piano for probably longer than shiho’s played the bass, she was in the hospital for years. speaking as a musician myself, even a few weeks off your instrument takes months work of practice to recover. she doesn’t care that they’re at the level they’re at, she’s just worried that they’ll be like her former band mates who fell behind because of their lack of commitment."
BanG Dream,Roselia「LOUDER」Chronicle Movie,VADER Negative / RoBERTa Neutral,-0.9968,0.8471760749816895,"Hi im back again doing this, and if youve noticed its copy pasted from my comment on jpdori channel! Comparisons and my thoughts at the end! [ACTUAL CLIPS MAY DIFFER WHEN YOU CLICK ON TIMESTAMP] 0:00 Rausch (RauCray additional performance) Encore 0:04 MV 0:08 Rausch (RauCray additional performance) Encore 0:09 MV 0:10 Rausch und / and Craziness Day 2 0:12 Rausch und / and Craziness Day 1 0:15 MV 0:16 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 0:19 MV 0:20 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 0:20 No Girl No Cry Day 1 Opening Act 0:22 Roselia Mini Live Vier Encore 0:24 Bang Dream 7th Live Day 1 Hitze 0:26 Rausch und / and Craziness Day 2 0:28 Bang Dream 7th Live Day 1 Hitze 0:28 MV 0:31 Roselia Mini Live Vier Encore 0:33 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 0:35 Rausch und / and Craziness Day 1 0:36 Rausch (RauCray additional performance) Encore 0:37 MV 0:38 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 0:40 Rausch und / and Craziness Day 1 0:41 MV 0:47 No Girl No Cry Day 1 Opening Act 0:48 Rausch (RauCray additional performance) Encore 0:49 Rausch und / and Craziness Day 1 0:50 No Girl No Cry Day 1 Opening Act 0:53 MV 0:54 Rausch und / and Craziness Day 2 0:56 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 0:57 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 0:57 No Girl No Cry Day 1 Opening Act 0:58 Rausch und / and Craziness Day 2 0:59 MV 1:01 No Girl No Cry Day 1 Opening Act 1:03 Rausch (RauCray additional performance) Encore 1:03 Rausch und / and Craziness Day 1 1:05 MV 1:09 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 1:10 MV 1:11 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 1:13 MV 1:13 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 1:14 Roselia Mini Live Vier Encore 1:17 MV 1:20 Roselia Mini Live Vier Encore 1:23 Bang Dream 7th Live Day 1 Hitze 1:28 No Girl No Cry Day 1 Opening Act 1:34 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 1:41 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 1:46 Rausch und / and Craziness Day 1 1:50 Roselia Mini Live Vier Encore 1:51 Rausch (RauCray additional performance) Encore 1:52 Rausch und / and Craziness Day 2 1:53 Roselia Mini Live Vier Encore 1:53 Bang Dream 7th Live Day 1 Hitze 1:55 Roselia Mini Live Vier Encore 1:56 No Girl No Cry Day 1 Opening Act 1:58 Rausch und / and Craziness Day 2 2:01 Rausch (RauCray additional performance) Encore 2:03 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 2:06 Rausch und / and Craziness Day 2 2:07 Rausch (RauCray additional performance) Encore 2:07 Bang Dream 7th Live Day 1 Hitze 2:09 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 2:10 Roselia Mini Live Vier Encore 2:13 No Girl No Cry Day 1 Opening Act 2:16 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 2:16 No Girl No Cry Day 1 Opening Act 2:17 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 2:17 Rausch und / and Craziness Day 2 2:18 No Girl No Cry Day 1 Opening Act 2:20 Rausch und / and Craziness Day 2 2:21 Rausch (RauCray additional performance) Encore 2:21 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 2:23 No Girl No Cry Day 1 Opening Act 2:26 Rausch und / and Craziness Day 2 2:28 Bang Dream 7th Live Day 1 Hitze 2:33 No Girl No Cry Day 1 Opening Act 2:33 Rausch und / and Craziness Day 2 2:34 Rausch und / and Craziness Day 1 2:35 Bang Dream 7th Live Day 1 Hitze 2:36 Roselia Mini Live Vier Encore 2:38 Rausch und / and Craziness Day 1 2:39 No Girl No Cry Day 1 Opening Act 2:41 Roselia Mini Live Vier Encore 2:43 Rausch (RauCray additional performance) Encore 2:55 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 2:57 Rausch und / and Craziness Day 1 2:58 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 3:00 Rausch und / and Craziness Day 2 3:02 Rausch (RauCray additional performance) Encore 3:06 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 3:08 No Girl No Cry Day 1 Opening Act 3:09 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 3:11 No Girl No Cry Day 1 Opening Act 3:12 Rausch und / and Craziness Day 1 3:12 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser Encore 3:15 MV 3:16 Roselia Solo Live Flamme / Wasser Live Day 1 Flamme 3:18 MV 3:19 Rausch und / and Craziness Day 2 3:20 Roselia Mini Live Vier Encore 3:22 Bang Dream 7th Live Day 1 Hitze 3:24 Roselia Mini Live Vier Encore 3:25 Rausch und / and Craziness Day 1 3:25 Bang Dream 7th Live Day 1 Hitze 3:26 MV 3:27 Roselia Solo Live Flamme / Wasser Live Day 2 Wasser 3:27 No Girl No Cry Day 1 Opening Act 3:29 Bang Dream 7th Live Day 1 Hitze 3:30 MV 3:37 Rausch und / and Craziness Day 2 end [Total count:] 113 transitions, 3:42 min (For comparision, Neoaspect which was 5:16 mins, had 63 transitions.) 9 Footage sources(1 MV, 8 Lives): Louder Animated MV Vier(Encore) Bang Dream 7th live Day 1 Hitze No Girl No Cry Opening Day 1 Opening Act Flamme/Wasser Day 1 Flamme Flamme/Wasser Day 2 Wasser Rausch und/and Craziness Day 1 Rausch und/and Craziness Day 2 Rausch (Rakure additional performance) Side notes about the timestamps to casually look out for: -0:07-0:09 Wh a t. Just. What. That one brief flash to meguchi and then back to the mv. That was way too good at the end when it flashes back to the MV it even looked like it was just the lighting changing -0:12 Made me realise this will be worse than neoas where i needed to tell flamme and wasser apart............rakure's stage was even more similar than Flamme wasser TwT -0:57 WHO MADE THIS I LOVE AND HATE YOU SO MUCH IT LOOKS SO COOL BUT THE TIMESTAMPING OH GOD -0:59 .........aiai you were too consistent in day 1 and 2 the only difference between day 1 and 2 was the camera angle and even so it was just a rly slight difference so that made it slightly consusing when i was trying to confirm what clip this was -0:59 The transition from irl to mv was so cool tho -2:43 ............ewigkiet trauma TwT More random thoughts that arent timestamp specific -WWhoever made these chronicle movies i hate and love u theyre such a challenge to tell apart TwT -Louder has been performed so many times Wwwwww i had so many tabs open -Honestly im surprised theres clips from NGNC in here -NGNC clips gave me some problems ngl since i didnt have anything to compare it against, some of the clips didnt have a super clear background so i had to guess -I love aiai's conistency so much its just so wwwww niceeee -Holy fucking shit how does this have almost 2 times the amount of transitions Neoas had -This was so fun to do again ngl as much of a pain it was -Again i noticed no clips from before nonchan joined were used, rly interesting tidbit. They didnt even use the 4 member louder performance from Vier"
